features,ranking,importance
BlockAddition,1,6.64E-02
BlockEdit,9,3.06E-03
BlockRelocation,5,6.16E-03
BlockRemoval,1,2.56E-02
ConstantVariableAddition,1,3.5E-02
ConstantVariableEdit,1,1.27E-2
ConstantVariableRelocation,10,2.93E-03
ConstantVariableRemoval,1,1.62E-02
ConstantsFileAddition,1,1.33E-02
ConstantsFileRelocation,7,4.67E-03
ConstantsFileRemoval,3,7.62E-03
DefaultVariableAddition,1,1.81E-01
DefaultVariableEdit,1,2.83E-02
DefaultVariableRelocation,19,3.19E-04
DefaultVariableRemoval,1,4.42E-02
DefaultsFileAddition,8,3.94E-03
DefaultsFileRelocation,21,5.0E-05
DefaultsFileRemoval,14,1.95E-03
DependencyAddition,13,2.17E-03
DependencyRemoval,12,2.71E-03
HandlerBlockAddition,11,2.77E-03
HandlerBlockEdit,23,2.85E-06
HandlerBlockRelocation,22,5.47E-06
HandlerBlockRemoval,18,6.38E-04
HandlerTaskAddition,6,5.5E-03
HandlerTaskEdit,1,1.4E-02
HandlerTaskRelocation,15,1.86E-03
HandlerTaskRemoval,17,9.8E-04
HandlersFileAddition,,
HandlersFileRelocation,24,1.74E-06
HandlersFileRemoval,20,2.81E-04
MetaEdit,1,5.13E-02
PlatformAddition,1,3.78E-02
PlatformRemoval,2,1.12E-02
TaskAddition,1,1.38E-01
TaskEdit,1,1.05E-01
TaskRelocation,1,1.02E-01
TaskRemoval,1,2.98E-02
TasksFileAddition,1,3.21E-02
TasksFileRelocation,16,1.26E-03
TasksFileRemoval,4,6.93E-03